,rmse_test_KernelRidge'>_idw_{'omega': 0.0}_0,rmse_val_KernelRidge'>_idw_{'omega': 0.0}_0,sample_sel_KernelRidge'>_idw_{'omega': 0.0}_0,rmse_full_KernelRidge'>_idw_{'omega': 0.0}_0,rmse_test_KernelRidge'>_idw_{'omega': 0.5}_0,rmse_val_KernelRidge'>_idw_{'omega': 0.5}_0,sample_sel_KernelRidge'>_idw_{'omega': 0.5}_0,rmse_full_KernelRidge'>_idw_{'omega': 0.5}_0,rmse_test_KernelRidge'>_idw_{'omega': 0.1}_0,rmse_val_KernelRidge'>_idw_{'omega': 0.1}_0,sample_sel_KernelRidge'>_idw_{'omega': 0.1}_0,rmse_full_KernelRidge'>_idw_{'omega': 0.1}_0,"rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_0","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_0","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_0","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_0","rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_0","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_0","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_0","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_0","rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_0","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_0","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_0","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_0","rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_0","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_0","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_0","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_0",rmse_test_KernelRidge'>_idw_{'omega': 0.0}_1,rmse_val_KernelRidge'>_idw_{'omega': 0.0}_1,sample_sel_KernelRidge'>_idw_{'omega': 0.0}_1,rmse_full_KernelRidge'>_idw_{'omega': 0.0}_1,rmse_test_KernelRidge'>_idw_{'omega': 0.5}_1,rmse_val_KernelRidge'>_idw_{'omega': 0.5}_1,sample_sel_KernelRidge'>_idw_{'omega': 0.5}_1,rmse_full_KernelRidge'>_idw_{'omega': 0.5}_1,rmse_test_KernelRidge'>_idw_{'omega': 0.1}_1,rmse_val_KernelRidge'>_idw_{'omega': 0.1}_1,sample_sel_KernelRidge'>_idw_{'omega': 0.1}_1,rmse_full_KernelRidge'>_idw_{'omega': 0.1}_1,"rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_1","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_1","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_1","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_1","rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_1","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_1","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_1","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_1","rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_1","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_1","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_1","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_1","rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_1","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_1","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_1","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_1"
10,213.65776926325393,248.7707458315573,312.0,85.95159560857674,213.65776926325393,248.7707458315573,312.0,85.95159560857674,213.65776926325393,248.7707458315573,312.0,85.95159560857674,213.65776926325393,248.7707458315573,312.0,85.95159560857674,213.65776926325393,248.7707458315573,312.0,85.95159560857674,213.65776926325393,248.7707458315573,312.0,85.95159560857674,213.65776926325393,248.7707458315573,312.0,85.95159560857674,169.77820963262934,157.48135195903419,171.0,89.93973921268605,169.77820963262934,157.48135195903419,171.0,89.93973921268605,169.77820963262934,157.48135195903419,171.0,89.93973921268605,169.77820963262934,157.48135195903419,171.0,89.93973921268605,169.77820963262934,157.48135195903419,171.0,89.93973921268605,169.77820963262934,157.48135195903419,171.0,89.93973921268605,169.77820963262934,157.48135195903419,171.0,89.93973921268605
11,246.201143003496,280.1447164331298,397.0,85.95159560857674,246.201143003496,280.1447164331298,397.0,85.95159560857674,246.201143003496,280.1447164331298,397.0,85.95159560857674,246.201143003496,280.1447164331298,397.0,85.95159560857674,246.201143003496,280.1447164331298,397.0,85.95159560857674,246.201143003496,280.1447164331298,397.0,85.95159560857674,246.201143003496,280.1447164331298,397.0,85.95159560857674,171.72440556215832,158.62088114846867,178.0,89.93973921268605,171.72440556215832,158.62088114846867,178.0,89.93973921268605,171.72440556215832,158.62088114846867,178.0,89.93973921268605,171.72440556215832,158.62088114846867,178.0,89.93973921268605,171.72440556215832,158.62088114846867,178.0,89.93973921268605,171.72440556215832,158.62088114846867,178.0,89.93973921268605,171.72440556215832,158.62088114846867,178.0,89.93973921268605
12,242.24443901398388,278.0910247365873,255.0,85.95159560857674,242.24443901398388,278.0910247365873,255.0,85.95159560857674,242.24443901398388,278.0910247365873,255.0,85.95159560857674,242.24443901398388,278.0910247365873,255.0,85.95159560857674,242.24443901398388,278.0910247365873,255.0,85.95159560857674,242.24443901398388,278.0910247365873,255.0,85.95159560857674,242.24443901398388,278.0910247365873,255.0,85.95159560857674,177.1472595208213,159.83956735479413,380.0,89.93973921268605,177.1472595208213,159.83956735479413,380.0,89.93973921268605,177.1472595208213,159.83956735479413,380.0,89.93973921268605,177.1472595208213,159.83956735479413,380.0,89.93973921268605,177.1472595208213,159.83956735479413,380.0,89.93973921268605,177.1472595208213,159.83956735479413,380.0,89.93973921268605,177.1472595208213,159.83956735479413,380.0,89.93973921268605
13,237.1436148276216,253.83827702294965,369.0,85.95159560857674,237.1436148276216,253.83827702294965,369.0,85.95159560857674,237.1436148276216,253.83827702294965,369.0,85.95159560857674,237.1436148276216,253.83827702294965,369.0,85.95159560857674,237.1436148276216,253.83827702294965,369.0,85.95159560857674,237.1436148276216,253.83827702294965,369.0,85.95159560857674,237.1436148276216,253.83827702294965,369.0,85.95159560857674,175.12861284542322,157.89700995428078,1088.0,89.93973921268605,175.12861284542322,157.89700995428078,1088.0,89.93973921268605,175.12861284542322,157.89700995428078,1088.0,89.93973921268605,175.12861284542322,157.89700995428078,1088.0,89.93973921268605,175.12861284542322,157.89700995428078,1088.0,89.93973921268605,175.12861284542322,157.89700995428078,1088.0,89.93973921268605,175.12861284542322,157.89700995428078,1088.0,89.93973921268605
14,235.1456480650046,250.08280048024272,1240.0,85.95159560857674,235.1456480650046,250.08280048024272,1240.0,85.95159560857674,235.1456480650046,250.08280048024272,1240.0,85.95159560857674,235.1456480650046,250.08280048024272,1240.0,85.95159560857674,235.1456480650046,250.08280048024272,1240.0,85.95159560857674,235.1456480650046,250.08280048024272,1240.0,85.95159560857674,235.1456480650046,250.08280048024272,1240.0,85.95159560857674,171.48836233074968,159.6782697968996,371.0,89.93973921268605,171.48836233074968,159.6782697968996,371.0,89.93973921268605,171.48836233074968,159.6782697968996,371.0,89.93973921268605,171.48836233074968,159.6782697968996,371.0,89.93973921268605,171.48836233074968,159.6782697968996,371.0,89.93973921268605,171.48836233074968,159.6782697968996,371.0,89.93973921268605,171.48836233074968,159.6782697968996,371.0,89.93973921268605
15,238.48689650324525,256.8935745488255,408.0,85.95159560857674,238.48689650324525,256.8935745488255,408.0,85.95159560857674,238.48689650324525,256.8935745488255,408.0,85.95159560857674,238.48689650324525,256.8935745488255,408.0,85.95159560857674,238.48689650324525,256.8935745488255,408.0,85.95159560857674,238.48689650324525,256.8935745488255,408.0,85.95159560857674,238.48689650324525,256.8935745488255,408.0,85.95159560857674,165.6076317706293,157.94846127620224,388.0,89.93973921268605,165.6076317706293,157.94846127620224,388.0,89.93973921268605,165.6076317706293,157.94846127620224,388.0,89.93973921268605,165.6076317706293,157.94846127620224,388.0,89.93973921268605,165.6076317706293,157.94846127620224,388.0,89.93973921268605,165.6076317706293,157.94846127620224,388.0,89.93973921268605,165.6076317706293,157.94846127620224,388.0,89.93973921268605
16,229.51511001624485,245.67853620665576,1170.0,85.95159560857674,229.51511001624485,245.67853620665576,1170.0,85.95159560857674,229.51511001624485,245.67853620665576,1170.0,85.95159560857674,229.51511001624485,245.67853620665576,1170.0,85.95159560857674,229.51511001624485,245.67853620665576,1170.0,85.95159560857674,229.51511001624485,245.67853620665576,1170.0,85.95159560857674,229.51511001624485,245.67853620665576,1170.0,85.95159560857674,165.88096456734974,157.92615612796328,126.0,89.93973921268605,165.88096456734974,157.92615612796328,126.0,89.93973921268605,165.88096456734974,157.92615612796328,126.0,89.93973921268605,165.88096456734974,157.92615612796328,126.0,89.93973921268605,165.88096456734974,157.92615612796328,126.0,89.93973921268605,165.88096456734974,157.92615612796328,126.0,89.93973921268605,165.88096456734974,157.92615612796328,126.0,89.93973921268605
17,244.85905468518584,266.39185565596256,982.0,85.95159560857674,244.85905468518584,266.39185565596256,982.0,85.95159560857674,244.85905468518584,266.39185565596256,982.0,85.95159560857674,244.85905468518584,266.39185565596256,982.0,85.95159560857674,244.85905468518584,266.39185565596256,982.0,85.95159560857674,244.85905468518584,266.39185565596256,982.0,85.95159560857674,244.85905468518584,266.39185565596256,982.0,85.95159560857674,164.63130201074785,155.85064035295477,92.0,89.93973921268605,164.63130201074785,155.85064035295477,92.0,89.93973921268605,164.63130201074785,155.85064035295477,92.0,89.93973921268605,164.63130201074785,155.85064035295477,92.0,89.93973921268605,164.63130201074785,155.85064035295477,92.0,89.93973921268605,164.63130201074785,155.85064035295477,92.0,89.93973921268605,164.63130201074785,155.85064035295477,92.0,89.93973921268605
18,242.0109080323647,257.2211479089742,345.0,85.95159560857674,242.0109080323647,257.2211479089742,345.0,85.95159560857674,242.0109080323647,257.2211479089742,345.0,85.95159560857674,242.0109080323647,257.2211479089742,345.0,85.95159560857674,242.0109080323647,257.2211479089742,345.0,85.95159560857674,242.0109080323647,257.2211479089742,345.0,85.95159560857674,242.0109080323647,257.2211479089742,345.0,85.95159560857674,169.82355063749816,159.67079914865286,362.0,89.93973921268605,169.82355063749816,159.67079914865286,362.0,89.93973921268605,169.82355063749816,159.67079914865286,362.0,89.93973921268605,169.82355063749816,159.67079914865286,362.0,89.93973921268605,169.82355063749816,159.67079914865286,362.0,89.93973921268605,169.82355063749816,159.67079914865286,362.0,89.93973921268605,169.82355063749816,159.67079914865286,362.0,89.93973921268605
19,249.59149869445216,268.028326045361,834.0,85.95159560857674,249.59149869445216,268.028326045361,834.0,85.95159560857674,249.59149869445216,268.028326045361,834.0,85.95159560857674,249.59149869445216,268.028326045361,834.0,85.95159560857674,249.59149869445216,268.028326045361,834.0,85.95159560857674,249.59149869445216,268.028326045361,834.0,85.95159560857674,249.59149869445216,268.028326045361,834.0,85.95159560857674,166.5061630447056,158.5437093011845,317.0,89.93973921268605,166.5061630447056,158.5437093011845,317.0,89.93973921268605,166.5061630447056,158.5437093011845,317.0,89.93973921268605,166.5061630447056,158.5437093011845,317.0,89.93973921268605,166.5061630447056,158.5437093011845,317.0,89.93973921268605,166.5061630447056,158.5437093011845,317.0,89.93973921268605,166.5061630447056,158.5437093011845,317.0,89.93973921268605
