,HistGradientBoostingRegressor_train,HistGradientBoostingRegressor_test,HistGradientBoostingRegressor_val,KernelRidge_train,KernelRidge_test,KernelRidge_val,PLSRegression_train,PLSRegression_test,PLSRegression_val,RandomForestRegressor_train,RandomForestRegressor_test,RandomForestRegressor_val,XGBRegressor_train,XGBRegressor_test,XGBRegressor_val
2930,6.367979651377143e-05,0.00010491855704067854,0.00041120253082908007,0.01407064498687689,0.014682185811860881,0.008051107197713948,-0.00023785373527953623,-1.8047583992786277e-05,-0.0012216998235964783,0.0008103038809035845,0.0003676749398751622,0.000896555248077402,9.71376895904541e-05,-8.1634521484375e-05,-0.0005032777786254883
2928,7.985220430316576e-05,7.64256120477591e-05,0.00022416453818759896,0.005292314005992338,0.006641011429910926,0.0021885594445164467,-0.0004163581953601114,-0.0002165847157422629,-0.0013371362090281668,0.0008758838477023523,0.0006299938903923441,0.0012105693038993114,0.000376516580581665,0.0014550268650054931,0.0006794929504394531
2926,2.2160437457718895e-05,0.00011659920025586246,0.0002621341605320793,0.0009616199055091701,0.00015495555014420902,0.0008342905658465405,-0.00025196024096797444,-0.00016842409494522982,-0.0007312818061745219,0.0009641706318597954,0.000575335938966337,0.00034678111364665475,0.00020596981048583984,0.0008113682270050049,-6.917119026184082e-05
2924,8.124136830284234e-05,-7.860102882804033e-05,0.0008870085267642213,0.0025903309931772033,-3.498195147187966e-05,0.003494598574631447,8.226356595877337e-05,6.831671975038311e-05,0.00023687028155987554,0.0010820982304708515,0.0005168430962580129,0.0007921200227611446,0.0002470970153808594,0.0002456843852996826,-5.912184715270996e-05
2922,4.301728928834958e-06,4.18246604912964e-06,-3.2479280507125007e-05,0.0024369218689934804,-0.0002686453331516958,0.0033374414961891753,0.000184963727850862,0.0002052745017810498,0.0005795852025018422,0.0009908876274311584,0.0005222660225052911,-0.0003530787487838749,5.384087562561035e-05,0.000240170955657959,-9.59932804107666e-05
2920,1.3746941526515678e-05,-5.037480179703735e-06,0.00022751547553279128,0.019707813508739368,0.017639787829834986,0.021287833263008538,0.00012956456916770608,0.0002191384523902773,0.0004909325450364488,0.0006810839536204316,-0.00011690291993146084,0.001099706264125555,0.00033972859382629393,0.0001313328742980957,-0.0019227147102355957
2918,0.00017009498752154072,0.0009894911142922513,-1.4073727171415307e-05,0.04092461517186866,0.03375483224568774,0.04358695339084719,7.241654425338417e-05,0.00020938681419471194,0.00039925647118617126,0.0006396678283378865,0.000588642194311706,-0.00014355430885730768,0.00015247464179992675,0.0003756344318389893,-0.00014389753341674804
2916,0.001919127955672817,0.0030429146863415247,0.003959816302971009,0.02520184773226758,0.017262354995106644,0.02588229084401017,-2.5634319354206347e-06,2.1940541340115248e-05,4.5099382273472435e-05,0.0021607414992931505,0.001485143461002003,-0.00013881482416602253,0.0028681039810180666,0.004160523414611816,0.004042798280715942
2914,0.0025049140126057524,-0.0006906770751523462,-0.0017544596442515715,0.023814924511729053,0.015886370777257252,0.019755984155605966,0.0001424637158844888,-3.440499771982797e-05,-0.00017620330319896295,0.0006771869517537166,-0.0006025275173961786,0.0002645058754380591,0.0016008377075195312,0.0015862643718719482,0.00046808719635009765
2912,0.00044603243519631964,0.002025804340189563,0.00039254498755489917,0.0080215203963375,0.00487966069409288,0.005610013332602392,0.0002991082723974303,9.532596314411057e-05,-2.5564612076789393e-05,0.0013083311704372492,0.00120661316632098,-0.00019929613764106956,0.00042130351066589357,0.0015270769596099853,-0.0007422506809234619
